review_text,issue,theme,fixes
Its not wort it the time and those prices $$$$$$$30 dollars for a cupcake cheessecake mini and a mini tiramisu its crazy and the flavor not good its just the name,"The price is excessively high for small items (e.g., $30 for a mini cupcake, cheesecake, and tiramisu)",Pricing,"Deploy a dynamic pricing engine such as **Pricefx** to automatically adjust margins on low‑volume items (e.g., < $10) by at least 15% during off‑peak periods, then monitor sales impact via weekly KPI dashboards in Power BI. | - Launch a “Mini‑Size Bundle” promotion in the POS system (e.g., Square) that groups the three small desserts together at a 20% discount, tracked through built‑in coupon codes to measure uptake within 30 days. | - Introduce tiered packaging options using the existing e‑commerce platform (Shopify): add a pre‑filled box priced at $22 that includes all three small treats, and compare conversion rates before/after launch with A/B testing tools like Optimizely. | - Conduct a monthly competitive price audit with **Competera**, capturing local bakery pricing for comparable portions; feed the data into a rule‑based pricing matrix that ensures our prices stay ≤ 10% above market averages for small items."
Its not wort it the time and those prices $$$$$$$30 dollars for a cupcake cheessecake mini and a mini tiramisu its crazy and the flavor not good its just the name,The flavor/taste of the items is disappointing and not as expected,Food Quality,"Deploy a standardized sensory evaluation panel (e.g., ISO 8586) with a calibrated scoring sheet for each dish; record results in a shared Google Sheet and require a minimum average taste score of 8/10 before product release. | - Integrate ChefTec recipe management software to lock down ingredient ratios, cooking times, and temperatures, then generate daily production variance reports and adjust any deviation >5% immediately. | - Install IoT temperature‑logging probes on all cooking stations and set automated alerts in Azure Monitor when heat profiles drift beyond the defined tolerance band (±2 °C). | - Conduct weekly blind taste tests with 20 target customers using SurveyMonkey QR codes, automatically aggregating Net Promoter Score (NPS) data and triggering a corrective‑action ticket in Jira if NPS falls below 70. | - Launch a vendor quality portal (e.g., SAP Ariba Supplier Qualification) that mandates quarterly third‑party lab testing for key flavor compounds; reject any supplier whose compound levels fall outside the specified range."
Its not wort it the time and those prices $$$$$$$30 dollars for a cupcake cheessecake mini and a mini tiramisu its crazy and the flavor not good its just the name,"The product name/description is misleading, leading to unmet expectations",Product Description,"Run a content audit with Contentful:** Upload all product names and descriptions into Contentful, tag them with a “Misleading” label, and set a weekly review cadence where the Product Owner approves any flagged items before they go live. | - **Deploy an NLP sentiment & clarity check in Azure Cognitive Services:** Integrate the Azure Text Analytics API to score each description on bias, complexity, and readability; only publish titles/scans that achieve ≥ 85 % positivity and ≤ 10 % ambiguity. | - **Launch a micro‑survey via Qualtrics within 48 hours of listing:** Send a one‑question poll (“Did the product name match your expectation?”) to the first 200 buyers, and if > 15 % respond negatively, trigger an automatic correction workflow in Jira. | - **Add a visual expectation validator in Shopify Scripts:** Create a script that displays a side‑by‑side image comparison (actual vs. advertised) when a visitor hovers over the title, and track click‑through rates to ensure at least 80 % view the comparison before purchase."
Well I didn't go but I am sure the food is good. I was not going to wait over an hour in line to be rushed through. If I had known I would not have wasted my time going. Very disappointed.,Long wait time of over an hour in line,Service Quality,"Deploy a cloud‑based virtual queue (e.g., QLess) that issues customers SMS tickets and displays real‑time wait estimates on digital signage, reducing perceived wait time by at least 20 %. | - Integrate NICE Workforce Management with the POS system to forecast peak traffic from historical sales data and schedule additional cashiers 15 minutes before predicted spikes, cutting average queue length by up to 30 %. | - Install self‑service kiosks (using Square Terminal or Toast) for routine transactions such as check‑in and order placement, targeting a 25 % reduction in staff‑driven line activity within six weeks. | - Implement a dynamic staffing model using Tableau dashboards linked to real‑time queue metrics; trigger automatic alerts when the queue exceeds five minutes so supervisors can dispatch float employees instantly."
Well I didn't go but I am sure the food is good. I was not going to wait over an hour in line to be rushed through. If I had known I would not have wasted my time going. Very disappointed.,Being rushed through the service,Service Quality,"Deploy a real‑time queue dashboard in Zendesk Explore that triggers an automatic “service pause” alert when an agent’s pending ticket count exceeds their pre‑defined capacity (e.g., 8 open tickets), forcing them to close one before taking new requests. | - Institute a mandatory 2‑minute “wrap‑up buffer” at the end of every interaction logged in Salesforce Service Cloud; supervisors review compliance weekly via a built‑in report on average buffer usage. | - Integrate a speech‑analytics module from CallMiner into the call center, flagging any utterances containing phrases like “hurry up” or “quickly,” and schedule quarterly coaching sessions focused on reducing those tags by 15 % per quarter. | - Launch a self‑service knowledge hub powered by Intercom’s Custom Articles feature, embedding a “quick‑answer” widget on key product pages that agents must click through before picking up a live chat, thereby cutting direct handoffs by an estimated 10 % within three months."
"I was so excited to go here, but that excitement soon turned to disappointment. We had never been to a Carlo's Bakery in person, and we are fans of Buddy, of course, so we had to go while in Vegas. We waited in a decently long line, which gave us time to look at all the things that were wrong with this place. The display cases were filthy and messy. Frosting, sprinkles and crumbs were everywhere. There were even some cupcakes that had fallen upside down that just laid there in the case looking oh so sad. Several of the trays were empty, one of those being cannolis. One of the main reasons we wanted to go to Carlo's was was to try one of their famous cannolis. Sadly, that didn't happen. Mind you this was in the middle of the day. It wasn't like we were there 10 minutes til close. On top of that the food that was in the case was not properly labeled. Many things had no labels at all. This can be dangerous for folks with food allergies and annoying to other people trying to communicate what they want to the workers. We ended up getting a lobster tail and a napoleon type thing (a layered cake. no sign, so who knows what it was!). The lobster tails tasted stale and like it had sat in a fridge for a week. The cake thing was just not good. The flavor was not good. I took one bite of each and wished I had spent that $20 on a slot machine instead of desserts that wal-mart can do better than. I really hope Buddy and his family get a handle on things and get their locations back in shape, because I don't think this is the quality they had in mind for their customers.","Display cases were filthy and messy with frosting, sprinkles, crumbs, and fallen cupcakes",Cleanliness,"Deploy a daily “Case‑Clean” checklist in iAuditor (SafetyCulture) that assigns a staff member to wipe down each display case with approved cleaning solution, log completion time, and trigger automatic escalation if any item is missed twice in a row. | - Install QR‑code stickers on each case linking to a one‑click Workforce Management task in Deputy; when scanned, the system creates a 15‑minute window for cleaning, automatically notifying the assigned shift lead via Slack. | - Schedule a weekly deep‑clean rotation using a standardized SOP documented in Confluence, with a KPI of ≤ 2 minutes per case and a real‑time compliance dashboard in Power BI that flags any deviation from the target. | - Integrate RFID sensors (e.g., Zebra MotionWorks) into case lids to detect when they are opened, generating an instant alert to the floor supervisor’s mobile device so cleaning can be performed before the next product placement."
"I was so excited to go here, but that excitement soon turned to disappointment. We had never been to a Carlo's Bakery in person, and we are fans of Buddy, of course, so we had to go while in Vegas. We waited in a decently long line, which gave us time to look at all the things that were wrong with this place. The display cases were filthy and messy. Frosting, sprinkles and crumbs were everywhere. There were even some cupcakes that had fallen upside down that just laid there in the case looking oh so sad. Several of the trays were empty, one of those being cannolis. One of the main reasons we wanted to go to Carlo's was was to try one of their famous cannolis. Sadly, that didn't happen. Mind you this was in the middle of the day. It wasn't like we were there 10 minutes til close. On top of that the food that was in the case was not properly labeled. Many things had no labels at all. This can be dangerous for folks with food allergies and annoying to other people trying to communicate what they want to the workers. We ended up getting a lobster tail and a napoleon type thing (a layered cake. no sign, so who knows what it was!). The lobster tails tasted stale and like it had sat in a fridge for a week. The cake thing was just not good. The flavor was not good. I took one bite of each and wished I had spent that $20 on a slot machine instead of desserts that wal-mart can do better than. I really hope Buddy and his family get a handle on things and get their locations back in shape, because I don't think this is the quality they had in mind for their customers.","Several trays were empty, including the cannoli tray, resulting in missing menu items",Product Availability,"Deploy a real‑time inventory dashboard (e.g., Square Inventory) on kitchen tablets that flags any tray count below its minimum threshold and automatically generates a “restock” ticket in the restaurant’s task manager. | - Integrate a demand‑forecasting module such as Forecastly into the POS system to predict weekly cannoli sales and trigger a pre‑shift replenishment order when projected daily demand exceeds current stock levels. | - Conduct a daily 10‑minute “Tray Audit” at shift change where the line cook records tray counts in a Google Sheet checklist; if any tray is empty, a Slack alert is sent to the prep team with a 5‑minute SLA for correction. | - Implement a barcode‑driven tray tracking system (e.g., Scandit) that scans each tray before it leaves the prep area, logging its status in the POS so staff can instantly identify missing items and adjust the menu display accordingly."
"I was so excited to go here, but that excitement soon turned to disappointment. We had never been to a Carlo's Bakery in person, and we are fans of Buddy, of course, so we had to go while in Vegas. We waited in a decently long line, which gave us time to look at all the things that were wrong with this place. The display cases were filthy and messy. Frosting, sprinkles and crumbs were everywhere. There were even some cupcakes that had fallen upside down that just laid there in the case looking oh so sad. Several of the trays were empty, one of those being cannolis. One of the main reasons we wanted to go to Carlo's was was to try one of their famous cannolis. Sadly, that didn't happen. Mind you this was in the middle of the day. It wasn't like we were there 10 minutes til close. On top of that the food that was in the case was not properly labeled. Many things had no labels at all. This can be dangerous for folks with food allergies and annoying to other people trying to communicate what they want to the workers. We ended up getting a lobster tail and a napoleon type thing (a layered cake. no sign, so who knows what it was!). The lobster tails tasted stale and like it had sat in a fridge for a week. The cake thing was just not good. The flavor was not good. I took one bite of each and wished I had spent that $20 on a slot machine instead of desserts that wal-mart can do better than. I really hope Buddy and his family get a handle on things and get their locations back in shape, because I don't think this is the quality they had in mind for their customers.","Food items lacked proper labeling, with many having no labels, posing allergy risks",Labeling,"Deploy a cloud‑based label management system (e.g., Label Insight) integrated with your ERP so every SKU is auto‑generated and printed on demand; set a rule that any item without a label within 24 hours triggers an automatic alert in Slack for immediate corrective action. | - Implement a digital pre‑shift checklist in iAuditor that requires staff to scan each shelf with a handheld barcode scanner (Zebra DS3600) and confirm that all product codes are present before opening for service. | - Introduce QR‑code stickers generated via a centralized content‑management tool (e.g., Contentful) that links to detailed allergen information hosted on a secure internal portal, ensuring customers have instant access to ingredient lists. | - Schedule weekly “Label Compliance” audits using a mobile audit app such as SafetyCulture iAuditor, assigning a scorecard metric (percentage of labeled products) and tying results to individual performance bonuses."
"I was so excited to go here, but that excitement soon turned to disappointment. We had never been to a Carlo's Bakery in person, and we are fans of Buddy, of course, so we had to go while in Vegas. We waited in a decently long line, which gave us time to look at all the things that were wrong with this place. The display cases were filthy and messy. Frosting, sprinkles and crumbs were everywhere. There were even some cupcakes that had fallen upside down that just laid there in the case looking oh so sad. Several of the trays were empty, one of those being cannolis. One of the main reasons we wanted to go to Carlo's was was to try one of their famous cannolis. Sadly, that didn't happen. Mind you this was in the middle of the day. It wasn't like we were there 10 minutes til close. On top of that the food that was in the case was not properly labeled. Many things had no labels at all. This can be dangerous for folks with food allergies and annoying to other people trying to communicate what they want to the workers. We ended up getting a lobster tail and a napoleon type thing (a layered cake. no sign, so who knows what it was!). The lobster tails tasted stale and like it had sat in a fridge for a week. The cake thing was just not good. The flavor was not good. I took one bite of each and wished I had spent that $20 on a slot machine instead of desserts that wal-mart can do better than. I really hope Buddy and his family get a handle on things and get their locations back in shape, because I don't think this is the quality they had in mind for their customers.","The lobster tail tasted stale and the cake was poorly flavored, indicating low food quality",Food Quality,"Deploy a daily “freshness audit” checklist in iAuditor (SafetyCulture) that records temperature logs, visual inspection scores, and expiration dates for all seafood; any item scoring below 85 % automatically generates a replacement ticket in the kitchen’s Trello board. | - Install IoT‑enabled humidity/temperature sensors (e.g., Sensaphone) on seafood storage units and configure alerts to the kitchen manager via Slack when conditions deviate from the optimal range (0‑4 °C, ≤60 % RH). | - Introduce a standardized sensory evaluation protocol using a calibrated flavor wheel; chefs record taste, aroma, and texture scores for every baked good batch in a Google Sheet, triggering a corrective recipe adjustment if the average score falls below 80 %. | - Require suppliers to provide lot‑level traceability QR codes scanned at receipt; integrate the data into SAP MM so that any product older than 48 hours is flagged and automatically excluded from service."
"I was so excited to go here, but that excitement soon turned to disappointment. We had never been to a Carlo's Bakery in person, and we are fans of Buddy, of course, so we had to go while in Vegas. We waited in a decently long line, which gave us time to look at all the things that were wrong with this place. The display cases were filthy and messy. Frosting, sprinkles and crumbs were everywhere. There were even some cupcakes that had fallen upside down that just laid there in the case looking oh so sad. Several of the trays were empty, one of those being cannolis. One of the main reasons we wanted to go to Carlo's was was to try one of their famous cannolis. Sadly, that didn't happen. Mind you this was in the middle of the day. It wasn't like we were there 10 minutes til close. On top of that the food that was in the case was not properly labeled. Many things had no labels at all. This can be dangerous for folks with food allergies and annoying to other people trying to communicate what they want to the workers. We ended up getting a lobster tail and a napoleon type thing (a layered cake. no sign, so who knows what it was!). The lobster tails tasted stale and like it had sat in a fridge for a week. The cake thing was just not good. The flavor was not good. I took one bite of each and wished I had spent that $20 on a slot machine instead of desserts that wal-mart can do better than. I really hope Buddy and his family get a handle on things and get their locations back in shape, because I don't think this is the quality they had in mind for their customers.",Customers experienced a long wait in line before being served,Service Speed,"Deploy a cloud‑based virtual queue (e.g., QLess) that issues digital tickets via SMS and displays real‑time estimated wait times on screens at entry points, allowing customers to join the line remotely and reducing physical congestion. | - Use Kronos Workforce Central to run a demand‑forecasting model that schedules additional staff during peak hours identified by weekly foot‑traffic analytics, ensuring staffing levels meet a target service‑time SLA of ≤ 5 minutes per customer. | - Introduce self‑service kiosks equipped with Square Terminal devices for routine transactions such as payments and returns, diverting up to 30 % of requests away from live counters and cutting average queue length by approximately 20 %. | - Implement a Tableau dashboard that pulls POS and queue data every 15 minutes to monitor average wait time; set automated Slack alerts when wait exceeds 10 minutes so supervisors can reallocate resources instantly."
"Very disappointing, got the fabled Cannoli's and what an absolute waste of money. I had actually gotten some from a different bakery at Paris and assumed that as well as those tasted, Carlos's would be better, boy was I wrong! Buddy needs to stick to making cakes that look good, and I'm sure don't taste good.","The cannoli were disappointing and tasted bad, not meeting expectations",Food Quality,"Deploy a digital sensory‑evaluation checklist in Qualtrics (or a similar survey platform) for every batch; require ≥ 90 % score on “freshness” and “flavor” before products are released. | - Install real‑time temperature monitoring sensors linked to a dashboard (e.g., Monnit) on all pastry ovens and refrigerators, with automatic alerts when conditions deviate by more than ±2 °F from the target range. | - Conduct weekly supplier quality audits using the FoodLogiQ traceability module to verify ingredient lot numbers and freshness dates, flagging any batch older than 48 hours for rejection. | - Create a standardized recipe card in ChefTec that includes exact measurements, mixing times, and bake parameters, and mandate that chefs run a test batch at the start of each shift and log results in a Google Sheet KPI tracker."
"Very disappointing, got the fabled Cannoli's and what an absolute waste of money. I had actually gotten some from a different bakery at Paris and assumed that as well as those tasted, Carlos's would be better, boy was I wrong! Buddy needs to stick to making cakes that look good, and I'm sure don't taste good.","The product was considered a waste of money, indicating poor value for money",Value,"Deploy a post‑purchase NPS survey in Qualtrics that triggers automatically after 48 hours and includes a “value rating” question; use the resulting score (≤6) to create a targeted “value recovery” email workflow in HubSpot that offers a complimentary upgrade or refund within 7 days. | - Integrate a ROI calculator into the product’s onboarding flow using Typeform, allowing customers to input usage metrics and receive real‑time cost‑benefit estimates before they commit, reducing perceived waste by showing tangible value. | - Implement a tiered warranty program managed through ServiceNow that automatically issues replacement units or service credits when a defect is logged, turning negative perceptions into positive experiences and demonstrating measurable risk mitigation. | - Launch a quarterly “Value Impact” webinar series hosted on Zoom, where subject‑matter experts present case studies and run interactive polls to quantify return‑on‑investment; track attendance and conversion rates via Google Analytics to gauge effectiveness."
"Awful experience. Guest specialist Alyssa had a horrible attitude. She should be fired. The cashier Akberet, however, was very polite. Thumbs down for bad service!","Guest specialist displayed a horrible attitude, leading to a bad service experience",Service Quality,"Deploy a real‑time sentiment monitoring dashboard (e.g., Medallia Experience Cloud) that flags any “negative” interaction score within 15 minutes; automatically route those cases to a supervisor for immediate coaching. | - Require all guest specialists to complete a quarterly 360° feedback cycle in SurveyMonkey, with a minimum average rating of 4.5/5 on professionalism; tie results to performance bonuses and trigger corrective action if scores fall below target. | - Implement weekly 20‑minute role‑play drills on the Lessonly LMS where staff rehearse handling difficult customers, recording each session and reviewing it against a standardized scoring rubric. | - Create a “Zero‑Tolerance Escalation SOP” that mandates a documented escalation workflow in Zendesk: any guest complaint about rude behavior auto‑assigns to a senior manager and triggers a mandatory follow‑up call within 24 hours. | - Launch a peer‑shadowing program through the Workforce Management module in Kronos, pairing each specialist with a top‑rated colleague for one day per month to observe best‑practice interactions and capture learnings in a shared Google Sheet."
"Place was horrible. First and foremost, we grabbed a number which was B89 and waited over 2 hours for our number to get called. One of the most disorganized companies I have ever seen. I understand things were busy but the way of doing business was horrible and we noticed a lot of people leaving purely because of the wait. Second, once we finally got our number called, I was informed the pie that I had ordered 4 hours earlier was not made. The manager came out and spoke to me and before even apologizing, blamed it on me because I had not pre-paid. She tried to explain how the process worked if I would have pre-paid for the pie but did not apologize or offer a solution outside of waiting another 40 minutes for my pie to be made. Absolute worst customer service I have ever seen from a ""manager."" On top of that, pre-paying for my pie was never even provided to me as an option which only made things worse. Would not recommend this to anyone unless you are looking to waste a few hours on the strip and if you don't want to get your order correct.",Excessive wait time of over two hours before being called,Service Quality,"Deploy a real‑time queue dashboard in Zendesk Explore that triggers an automatic alert to supervisors when average wait time exceeds 45 minutes, prompting immediate staffing adjustments. | - Integrate Twilio Flex with the call center’s CRM to route callers to the next available agent within 90 seconds and display live SLA compliance metrics on a wallboard. | - Implement predictive staffing using NICE Workforce Management to forecast peak call volume 15 minutes ahead and schedule additional agents during identified “high‑wait” windows. | - Launch an AI‑driven IVR chatbot (e.g., Ada) that resolves common inquiries and offers callback options, reducing inbound calls by at least 20 % and cutting average hold time."
